ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
DHC,14/11/2018,7.56,29,88,50,11.13,5.4,127,43.1,1.23,3.71,5.9,12.6,1400,0.018,7.74,101,2,1.3
DHC,12/12/2018,7.07,29.4,87,47,11.08,4.2,109,46,1.36,4.44,6.27,8.6,1500,0.014,6.79,89,2,1.4
TAG,15/01/2019,7.57,28.3,84,49,10.27,4.8,124,43.6,1.21,4.36,6.51,7.4,310,0.026,7.82,101,2.5,1
TAG,12/02/2019,8.1,27.8,106,51,12.37,5.2,133,48.2,0.6,4.2,6.51,10.5,480,0.011,8.01,102,2.4,1.3
TAG,12/03/2019,7.68,28.4,87,52,11.13,4.7,138,44.2,0.73,3.97,7.12,11,160,0.014,7.49,98,2.5,1
TAG,09/04/2019,8.19,29.3,100,54,10.67,6,140,39.8,1.83,3.2,7.24,6.8,200,0.015,7.95,105,2.5,1
TAG,14/05/2019,8.31,30.3,91,59,10.63,5.4,140,42.5,0.55,3.88,7.61,16.8,220,0.015,7.67,103,1.5,1.3
TAG,11/06/2019,8.63,30,105,57,11.4,6.5,143,46.6,0.23,4.41,8.02,11.9,280,0.028,9.2,124,1.5,1.7
TAG,09/07/2019,8.57,29.6,116,54,11.04,6,141,45.1,0.61,4.26,7.12,20.7,2900,0.027,9.23,120,1.2,2.2
TAG,07/08/2019,8.54,29.5,123,53,11.65,5,137,51.1,0.22,5.34,6.89,17.4,2900,0.026,9.14,121,1.1,2.4
TAG,10/09/2019,8.11,29,87,48,9.57,6,130,39.7,0.64,3.83,6.89,13,10000,0.028,8.07,105,2,1.8
TAG,15/10/2019,7.31,29.3,90,51,9.64,5.9,127,38.8,0.71,3.58,6.79,9.6,2400,0.021,7.14,93,1.7,1.1
TAG,13/11/2019,7.44,26,93,52,9.09,5.2,138,36.6,0.73,3.38,6.63,9.8,6900,0.117,8.13,100,2.5,1.2
TAG,10/12/2019,7.82,29.8,86,57,9.47,5.1,134,38.1,0.69,3.5,6.39,12,1500,0.048,7.69,103,2.8,1.1
DCH,15/01/2019,7.37,27.9,96,49,16.13,5,123,59.4,1.36,4.65,6.75,6.8,1300,0.026,7.07,91,2,1.3
DCH,12/02/2019,7.69,27.2,102,50,10.27,5.9,132,39.7,0.5,3.42,7,7.1,1100,0.017,7.16,91,2.5,1.8
DCH,12/03/2019,7.13,27.8,95,47,9.1,5.4,127,42.7,0.58,4.86,8.11,9.4,2900,0.024,6.69,86,1.5,2.8
