ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
DCH,2021-12-06,8.63,28.3,83.0,52.0,10.1,5.2,129.0,42.0,0.77,4.08,5.75,12.1,14000.0,0.038,7.09,91.0,2.0,1.4
TAG,2022-01-26,8.21,28.9,94.0,55.0,8.44,5.4,130.0,36.7,0.64,3.79,3.58,6.7,130.0,0.016,7.67,100.0,3.0,1.0
TAG,2022-02-09,8.1,28.9,97.0,55.0,9.19,5.6,130.0,38.6,0.76,3.8,6.6,8.8,130.0,0.015,7.39,96.0,3.0,0.8
TAG,2022-03-22,8.28,29.2,134.0,56.0,10.14,8.0,136.0,41.2,0.66,3.87,5.86,7.7,136.0,0.026,8.2,107.0,3.0,0.9
TAG,2022-04-12,8.35,29.6,96.0,56.0,7.92,6.2,137.0,36.2,0.64,4.0,6.74,8.4,137.0,0.019,8.35,110.0,2.0,1.0
TAG,2022-05-11,8.43,30.2,101.0,58.0,8.1,6.3,133.0,36.6,0.69,3.98,6.96,6.2,133.0,0.01,8.89,118.0,3.0,0.9
TAG,2022-06-07,8.09,29.4,90.0,51.0,7.91,6.2,132.0,34.5,0.62,3.59,5.43,7.6,132.0,0.01,7.93,104.0,2.0,0.9
TAG,2022-07-12,7.92,29.0,89.0,49.0,7.97,5.7,124.0,34.5,0.53,3.54,6.17,7.1,124.0,0.016,7.78,101.0,2.5,1.0
TAG,2022-08-09,8.48,29.4,72.0,47.0,7.42,5.6,122.0,30.0,0.69,2.78,5.68,10.3,122.0,0.047,8.91,117.0,2.5,0.9
TAG,2022-09-14,8.4,29.9,60.0,50.0,7.5,4.7,124.0,32.1,0.54,3.24,5.89,9.1,124.0,0.026,8.9,118.0,2.0,1.2
TAG,2022-10-12,7.92,29.2,89.0,50.0,6.62,4.9,119.0,31.2,0.54,3.56,5.46,14.9,119.0,0.012,7.45,97.0,1.5,1.9
TAG,2022-11-08,7.48,28.5,65.0,50.0,6.69,4.7,128.0,30.7,0.66,3.4,5.81,16.9,128.0,0.01,6.42,83.0,1.5,2.4
TAG,2022-12-06,7.87,29.3,101.0,53.0,7.92,4.9,127.0,36.5,0.56,4.07,5.65,13.4,127.0,0.01,7.39,97.0,2.0,1.1
DCH,2022-01-26,8.0,28.3,84.0,56.0,8.16,5.7,130.0,36.3,0.58,3.85,7.26,6.0,2400.0,0.022,7.17,92.0,2.5,0.9
DCH,2022-02-09,7.79,28.5,100.0,55.0,8.71,5.8,131.0,37.3,0.71,3.78,3.38,11.8,2300.0,0.022,6.51,84.0,3.0,0.9
DCH,2022-03-22,7.37,28.7,103.0,52.0,8.59,6.8,234.0,38.2,0.65,4.07,6.53,4.9,3000.0,0.047,6.78,88.0,2.0,2.4
DCH,2022-04-12,7.74,28.6,86.0,50.0,6.85,7.3,125.0,32.1,0.63,3.64,6.68,7.9,1400.0,0.052,7.69,99.0,1.5,4.7
DCH,2022-05-11,7.29,28.8,103.0,51.0,6.69,6.4,106.0,31.7,0.67,3.64,6.68,7.7,8700.0,0.028,7.8,101.0,0.8,6.7
DCH,2022-06-12,8.29,25.0,83.0,47.0,7.81,5.5,120.0,38.6,0.46,4.64,5.87,10.2,1600.0,0.017,8.59,112.0,1.5,2.2
DCH,,,,,,,,,,,,,,,,,,,
DCH,2022-08-09,8.33,29.3,81.0,46.0,6.98,5.2,121.0,34.3,0.65,4.1,5.58,8.1,740.0,0.043,8.27,108.0,2.0,1.8
DCH,2022-09-14,8.55,29.9,79.0,50.0,7.68,4.5,125.0,33.3,0.56,3.43,5.75,14.0,560.0,0.05,8.98,119.0,1.8,2.1
DCH,2022-10-12,8.1,29.0,96.0,50.0,6.4,5.0,120.0,29.3,0.53,3.23,5.67,15.0,26000.0,0.011,7.18,93.0,1.0,22.5
DCH,2022-11-08,8.01,28.0,93.0,50.0,6.57,4.9,128.0,31.6,0.62,3.68,5.98,17.2,8200.0,0.01,6.85,88.0,1.8,1.4
DCH,2022-12-06,7.8,29.1,95.0,53.0,7.76,4.9,128.0,32.8,0.58,3.26,5.76,10.2,8700.0,0.012,6.82,89.0,2.0,1.3
